"ResponseId","part.group","EndDate","Duration..in.seconds.","bnt1","bnt2","bnt3","bnt4","time.bnt_Page.Submit","mct.w","mct.w.pro_1","mct.w.pro_2","mct.w.pro_3","mct.w.pro_4","mct.w.pro_5","mct.w.pro_6","mct.w.con_1","mct.w.con_2","mct.w.con_3","mct.w.con_4","mct.w.con_5","mct.w.con_6","mct.d","mct.d.pro_1","mct.d.pro_2","mct.d.pro_3","mct.d.pro_4","mct.d.pro_5","mct.d.pro_6","mct.d.con_1","mct.d.con_2","mct.d.con_3","mct.d.con_4","mct.d.con_5","mct.d.con_6","time.mct_Page.Submit","treat.check","time.sec2_Page.Submit","fq1_1","fq2_1","fq3_1","fq4_1","fq5_1","fq6_1","fq7_1","fq8_1","fq9_1","fq10_1","fq11_1","fq12_1","fq13_1","fq14_1","fq15_1","fq16_1","fq17_1","fq18_1","fq19_1","fq20_1","fq21_1","fq22_1","fq23_1","fq24_1","selfassessment","exp","exp.sp","team","time","source","intu.anal","method","time.refl_Page.Submit","sex","year","edu","emp","CompletionCode","Group"
"R_1CgFqfOJs9jDefv","other",2017-02-06,1817,30,25,23,50,363.966,1,1,3,-2,-1,2,4,3,3,2,2,-2,2,2,4,3,-4,3,3,1,-2,-1,2,2,3,3,"299.929","Yes",1006.457,0.25,0.15,0.15,0.3,0.3,0.25,0.35,0.61,0.7,0.55,0.1,0.6,0.7,0.3,0.3,0.6,0.1,0.65,0.1,0.2,0.6,0.8,0.2,0.25,"Moderately good","Yes, I have tried forecasting events a few times","None","Individually","30 min to 1 hour","News,Academic papers,Social media","About evenly intuition and analysis","","71.646","Male","1988","Master's degree","    A student","11577113","Treatment"
"R_1DApUqLegixfhJs","mturk",2017-02-06,1490,25,30,50,20,130.858,1,1,3,-1,1,3,4,1,2,3,3,2,-2,2,4,4,-2,2,-1,2,-4,-3,-3,4,-3,-2,"695.161","Yes",439.398,0.71,0.61,0.58,0.42,0.57,0.72,0.77,0.71,0.32,0.4,0.6,0.54,0.7,0.8,0.45,0.59,0.8,0.58,0.37,0.77,0.55,0.67,0.79,0.45,"Neither good nor bad","No, I never participated in any forecasting of events","None","Individually","10-30 min","News","Mostly intuition, some analysis","Just guessed based on news events","197.091","Female","1985","Bachelor's degree","    Employed for wages","68929328","Treatment"
"R_1DqHISIpusZKf8m","mturk",2017-02-07,1996,0.06,0.2,0.1,0.2,662.994,2,3,4,0,3,4,3,4,3,3,1,4,-4,3,4,4,4,4,4,2,0,-3,2,2,0,2,"285.716","Yes",176.065,0.65,0.65,0.51,0.69,0.47,0.65,0.47,0.62,0.4,0.67,0.46,0.68,0.62,0.68,0.51,0.65,0.51,0.51,0.37,0.62,0.57,0.55,0.57,0.61,"Moderately good","Yes, I sometimes forecast events","None","Individually","10-30 min","None","Mostly intuition, some analysis","","229.627","Male","1968","Master's degree","    Employed for wages","9383497","Treatment"
"R_1DwcWPvOehPfGcU","other",2017-02-06,1286,25,25,20,95,443.484,1,1,1,-1,2,1,3,-1,-2,-3,0,1,-3,2,2,3,-2,-2,2,-1,-1,-2,-1,1,-1,-1,"464.858","Yes",248.694,0.3,0.19,0.6,0.19,0.6,0.71,0.84,0.33,0.21,0.59,0.1,0.9,0.81,0.71,0.29,0.91,0.23,0.27,0.26,0.33,0.75,0.72,0.18,0.78,"Slightly bad","No, I never participated in any forecasting of events","Yes, but less than six months","Individually","Less than 10 min","News,Peers and friends,None","Only intuition","","66.85","Female","1991","Bachelor's degree","    A student","16509824","Treatment"
"R_1eY4Prx4AsK6gXu","mturk",2017-02-07,954,25,10,23,5,225.286,1,2,1,-1,2,1,1,-2,0,-3,1,-1,-1,-3,-4,-4,-4,-4,-3,-4,-2,1,3,-2,-2,-2,"277.668","",240.082,0.29,0.51,0.2,0.62,0.61,0.32,0.38,0.69,0.3,0.4,0.29,0.67,0.72,0.18,0.69,0.7,0.6,0.32,0.33,0.41,0.51,0.71,0.4,0.58,"Neither good nor bad","No, I never participated in any forecasting of events","None","Individually","Less than 10 min","News,Online databases / statistics","About evenly intuition and analysis","I didn't use a specific method, just took it one question at a time and tried to think about what a knew and what I didn't know.","98.828","Female","1989","Some college/university but no degree","    Employed for wages","74558231","Control"
"R_1FERpY4xiq2GHHO","other",2017-02-07,13940,30,25,20,0.5,2274.936,1,-1,-1,-1,1,1,1,-1,1,-2,2,-3,-2,2,2,2,-2,0,NA,-1,-1,-2,-2,0,-2,1,"1023.895","Yes",873.603,0.16,0,0,0.7,0.62,0.12,0.8,0.87,0.66,0.7,0.14,0.47,0.7,0.06,0.35,0.64,0.13,0.14,0.29,0.54,0.85,0.73,0.13,0.18,"Neither good nor bad","No, I never participated in any forecasting of events","Yes, but less than six months","Individually","10-30 min","News,Reports of governments and/or international organizations","Mostly intuition, some analysis","Educated guess","132.806","Male","1989","Master's degree","    Unable to work","61256236","Treatment"
"R_1FFhQ4IatZXxm2D","uni",2017-02-15,6902,30,NA,23,4,563.77,1,-1,1,2,-1,-1,1,2,0,-2,4,1,-1,3,4,2,-1,2,-1,-1,-2,-2,-2,1,-1,1,"5012.654","",731.234,0.6,0.2,0.37,0.6,0.65,0.7,0.4,0.3,0.66,0.31,0.08,0.6,0.71,0.6,0.62,0.64,0.71,0.59,0.08,0.4,0.62,0.66,0.66,0.31,"Neither good nor bad","No, I never participated in any forecasting of events","None","Individually","10-30 min","News,Online databases / statistics","Mostly intuition, some analysis","","54.919","Female","22091993","Bachelor's degree","    A student","13559790","Control"
"R_1FFjGyiLtn76lFY","other",2017-02-06,1483,40,25,20,50,328.582,-1,-1,-1,-1,-1,-1,2,1,1,-2,4,-1,-1,2,-1,3,-4,-4,-1,-1,-1,-1,-4,3,1,2,"482.814","",485.431,0.69,0,0.41,0.88,0.83,0.92,0,1,0,0.29,0.19,0.85,0.78,0.6,0.32,0.9,1,0,0.02,0.02,0.14,0.08,0,0.31,"Slightly bad","No, I never participated in any forecasting of events","None","Individually","Less than 10 min","None","Only intuition","","62.798","Female","1988","Master's degree","    Employed for wages","96106742","Control"
"R_1FS582MLxDdNoed","other",2017-02-06,2387,30,30,20,4,550.964,-1,-1,-3,-4,1,1,4,3,4,-3,2,2,-2,2,2,3,-2,1,-1,-4,-4,2,3,-3,-2,-1,"381.671","",695.996,0.2,0.2,0,0.1,0.6,0.51,0.81,0.6,0.1,0.6,0.1,0.7,0.81,0.2,0.3,0.81,0.7,0.2,0.71,0,0.71,0.71,0.7,0.51,"Neither good nor bad","No, I never participated in any forecasting of events","Yes, but less than six months","Individually","10-30 min","News","Mostly intuition, some analysis","On questions that I have personally studied before, I used my intuition.
On questions that I have no special expertise, I used Goodle News and Wiikipedia to get a brief overview over the past history of the issue in question and to get information about recent developments. Then tried to remember historic parallels to get a framwork of reference. Then I used my intuition.
On questions I have no expertise whatsoever I simply used intuition guided by historical parrallel cases.
General rule of thumb: very visible issues are connected with a lesser probability of actually substentially changing. Example: The Raqqa offensive will have less success than the visibility of the offenisve might suggest.","525.927","Male","1990","Bachelor's degree","    Out of work and looking for work","27068891","Control"
"R_1Fwx9XVEXKt022V","uni",2017-02-12,683,30,0.25,21,0.2,233.957,2,-2,0,-1,2,-4,1,-4,-1,-1,1,4,-4,3,4,4,-4,1,-2,0,-4,-2,-4,-1,-3,-2,"149.077","Yes",188.325,0.91,0.6,0.3,0.6,0.6,0.8,0.6,0.25,0.2,0.7,0.4,0.8,0.7,1,0.75,0.6,0.2,0.2,0.2,0.6,0.7,0.8,0.4,0.7,"Moderately good","Yes, I sometimes forecast events","Yes, but less than six months","Individually","10-30 min","News,Reports of non-government organizations,Reports of governments and/or international organizations,Online databases / statistics","About evenly intuition and analysis","Think about how much I know. If I feel very confident in knowing enough to guess, I make my guess. if not, I consult the news/recent history, and some reports that are relevant. ","83.991","Male","1994","Bachelor's degree","    A student","25417032","Treatment"
"R_1gnX0oLa1uQhnXH","other",2017-02-06,3133,30,25,17,8,502.932,2,-1,-2,-1,2,-3,-1,-1,-1,-2,-1,-1,-3,1,1,2,-1,-1,0,0,-1,-1,-2,2,-1,1,"1878.282","Yes",593.602,0.35,0.64,0.72,0.75,0.38,0.15,0.61,0.15,0.55,0.79,0.26,0.68,0.67,0.25,0.64,0.69,0.25,0.65,0.41,0.74,0.67,0.58,0.87,0.46,"Slightly good","Yes, I have tried forecasting events a few times","Yes, between six months and two years","Individually","30 min to 1 hour","News","Mostly intuition, some analysis","","72.536","Female","1986","Master's degree","    Employed for wages","57620333","Treatment"
"R_1HkKscnzbZ270bp","other",2017-02-09,1666,30,25,20,50,71.944,-1,-1,1,-2,1,1,1,1,2,-2,2,-1,1,1,3,2,-3,-1,1,-3,-3,-2,-1,-3,-3,NA,"212.167","",389.595,0.1,0.2,0.2,0,0.1,0.1,0.4,0.8,0.15,0.25,0.1,0.15,0.8,0.25,0.15,0.75,0.3,0.15,0.05,0.15,0.9,0.6,0.1,0.2,"Slightly good","No, I never participated in any forecasting of events","Yes, more than two years","Individually","10-30 min","News,Academic papers,Online databases / statistics","Mostly intuition, some analysis","Well, this is hard to say... I would say, that my method to answer those specific questions was not entirely based on my knowledge and experience in foreign and security policy. It rather took into account to given time frame and an estimation, if something seems feasible within this two months window. For example: I would definately see a high probability, that the US might impose new sanctions on Iran and abandon the current Agreement. I just do not think, that it will be possible to process this until April 24. 

Questions on specific events (such as terrorist-attacks) are more tough though to forecast. As we now, even our Intelligence Community can not do that. Therefore, my forecasts here are more based on mathematics, meaning that in general, a terrorist attack ist, despite being a modern threat, rather unlikely at a given time or place. Here again, the time frame plays are role: If the question would be ""Do you think, there will be a devestating Terrorist attack somewhere in Western Europe in the next 10 years"", I would definately give it a 95% rate of probability. But if the question is, if I think there will be devestating Terrorist attack in City X tomorrow, that probability is very low, statistically speaking. This is way I rather gave low scores on questions related to such events. ","916.602","Male","1983","Master's degree","    Employed for wages","58163010","Control"
"R_1hLpFNcFKzw1UQi","uni",2017-02-12,252033,30,25,23,50,5554.647,1,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,"171.418","",125.98,0.58,0.58,0.39,0.6,0.56,0.4,0.62,0.58,0.43,0.57,0.4,0.59,0.41,0.57,0.56,0.58,0.57,0.46,0.58,0.42,0.57,0.41,0.55,0.46,"Moderately good","No, I never participated in any forecasting of events","None","Individually","10-30 min","Online databases / statistics","Mostly intuition, some analysis","Researching","46.874","Female","1994","Bachelor's degree","    Out of work and looking for work","87448696","Control"
"R_1I9NS50Hs12eqv7","other",2017-02-06,2414,30,25,20,8,190.557,-1,-3,-2,-4,-3,-4,-4,2,-1,-3,4,-4,1,2,1,2,-1,-4,-3,-4,-1,-1,-1,-2,-3,0,"1410.93","Yes",585.12,0.27,0.05,0.34,0.15,0.1,0.12,0.13,0.68,0.27,0.77,0.05,0.23,0.75,0.07,0.14,0.26,0.11,0.18,0.13,0.13,0.36,0.41,0.21,0.2,"Slightly bad","No, I never participated in any forecasting of events","Yes, between six months and two years","Individually","10-30 min","News,None","Mostly intuition, some analysis","Mostly intuition. I used news sources for 3 or 4 questions when i wanted to get a sense for some number estimates","163.433","Male","1984","Master's degree","    Employed for wages","44264553","Treatment"
"R_1ifCXy8c3NvM1TL","mturk",2017-02-09,2574,30,25,20,50,353.685,-2,-1,-2,-1,-1,-1,-1,1,2,0,2,2,0,-1,-1,-2,-1,-2,-2,-1,0,2,1,0,0,1,"602.606","Yes",859.873,0.3,0.6,0,0.7,0.4,0.8,0.6,0.8,0.8,0.9,0.7,0.8,1,0.2,0.1,0.8,0.1,0.2,0.1,0.2,0.7,0.9,0.1,0.1,"Neither good nor bad","No, I never participated in any forecasting of events","None","Individually","10-30 min","News","Mostly analysis, some intuition","My predictions are based on the available information mostly on news site on the internet. I have a hobby of reading news websites and watching news channels so i am aware of the different Geopolitical happenings around the globe. I used my own personal knowledge and analysis on answering most of the forecast.","606.202","Male","1986","Some college/university but no degree","    Employed for wages","36073163","Treatment"
"R_1IzWbLI4tgy94Uf","mturk",2017-02-09,13198,30,33.3,20,1,9617.242,-2,-2,-1,0,-1,-3,0,2,2,0,3,-1,3,1,3,2,-1,-1,0,2,-2,0,-1,1,-1,2,"401.292","Yes",2510.101,0.7,0,0.2,0.09,0.92,0.7,0.09,0.61,0.71,0.3,0.09,0.92,1,0.7,0.09,0.09,0.09,0,0.8,0,0.1,0.08,0,0,"Moderately good","Yes, I sometimes forecast events","None","Individually","10-30 min","News,Reports of non-government organizations,Reports of governments and/or international organizations,Online databases / statistics,Social media","Mostly analysis, some intuition","I have gone through the data available on Internet. I am very well aware of almost all the topics mentioned, including the latest happenings.

Most of the things mentioned were something which I used to think of on regular basis.So I have a very good idea in my mind.

That's how I have done it.","449.182","Male","1981","Master's degree","    Employed for wages","87017352","Treatment"
"R_1jcVXT3xuXX85W2","mturk",2017-02-09,1824,30,33,23,20,654.815,-3,-4,-4,-4,-4,-4,-4,4,4,4,4,4,4,-3,-4,-4,-4,-4,-4,-4,4,4,4,4,4,4,"538.174","",371.168,0.92,0.6,0.81,0.71,0.91,0.4,0.6,0.3,0.91,0.91,0.19,0.81,0.71,0.81,0.72,0.71,0.39,0.3,0.19,0.3,0.2,0.82,0.09,0.21,"Moderately good","Yes, I sometimes forecast events","Yes, between six months and two years","Individually","30 min to 1 hour","News,Reports of governments and/or international organizations,Social media","About evenly intuition and analysis","none","116.521","Male","1984","Master's degree","    Employed for wages","45429607","Control"
"R_1jHgE3JaMWj2XFu","other",2017-02-08,4374,30,0.25,20,0.5,276.716,-1,-2,-1,-4,1,-1,1,3,3,-2,1,-1,-2,-1,1,-2,-4,-4,-1,-4,-4,-2,1,-1,-4,2,"372.068","Yes",1117.134,0.2,0.15,0.22,0.13,0.3,0.6,0.7,0.6,0.7,0.15,0.65,0.65,0.6,0.18,0.68,0.61,0.4,0.42,0.16,0.6,0.67,0.85,0.14,0.47,"Slightly good","No, I never participated in any forecasting of events","Yes, but less than six months","Individually","10-30 min","News,Reports of non-government organizations,Reports of governments and/or international organizations,Online databases / statistics","Mostly intuition, some analysis","","60.005","Male","1991","Master's degree","    Out of work and looking for work","94383095","Treatment"
"R_1K7ta3UNA75rbCl","mturk",2017-02-06,307,25,50,11,95,71.422,2,0,4,1,3,3,4,-2,-3,-3,1,0,-3,3,4,4,-2,-1,2,0,-4,1,1,0,-1,0,"90.677","Yes",84.8,0.78,0.42,0.52,0.75,0.26,0.68,0.24,0.92,0.33,0.33,0.33,0.33,0.42,0.45,0.91,0.48,0.76,0.51,0.52,0.81,0.5,0.63,0.29,0.41,"Slightly bad","No, I never participated in any forecasting of events","None","Individually","10-30 min","News","Mostly intuition, some analysis","I mostly just used what I already knew and my own intuition. It's all guesswork anyway.","38.935","Female","1992","Some college/university but no degree","    A student","2383760","Treatment"
"R_1lubzxODh6SovCA","other",2017-02-07,3001,25,50,35,50,225.497,2,0,-1,0,0,-1,4,2,-1,-4,3,-2,-3,2,3,-4,-4,-4,2,-4,-4,3,4,-4,-4,2,"236.264","",382.026,0.1,0.3,0.65,0.8,0.73,0.85,0.9,0.33,0.25,0.1,0.06,0.85,0.75,0.38,0.65,0.76,0.39,0.29,0.05,0.1,1,0.38,0.19,0.68,"Slightly good","No, I never participated in any forecasting of events","None","Individually","10-30 min","News,Academic papers,Online databases / statistics,Social media","Mostly intuition, some analysis","","64.628","Male","1989","Master's degree","    Out of work and looking for work","84357606","Control"
"R_1luGgpRhLLHnxOG","other",2017-02-12,1391,30,40,20,18,295.149,1,-1,-3,-3,3,-2,4,2,1,-4,3,-3,-4,2,4,1,-4,-4,4,-1,-1,1,0,-4,-4,-1,"387.603","",541.449,0.22,0.85,0.05,0.05,0.2,0.6,0.8,0.1,0.25,0.41,0.1,0.75,0.33,0.15,0.67,0.7,0.11,0.27,0.6,0.26,0.87,0.6,0.15,0.21,"Moderately good","No, I never participated in any forecasting of events","None","Individually","Less than 10 min","None","About evenly intuition and analysis","","79.732","Male","1992","Bachelor's degree","    A student","95091858","Control"
"R_1mDYGzBDFVDHwzC","mturk",2017-02-06,402,25,25,20,50,87.202,1,0,3,0,2,3,4,-2,-1,1,3,0,2,-2,2,3,1,-2,-3,0,-3,2,4,1,0,3,"115.249","",119.253,0.8,0.9,0.6,0.3,0.2,0.4,0.8,0.3,0.5,0.4,0.25,0.8,0.2,0.5,0.8,0.9,0.2,0.1,0.2,0.7,0.95,0.9,0.2,0.4,"Moderately good","No, I never participated in any forecasting of events","None","Individually","10-30 min","News,Online databases / statistics,Social media","Mostly intuition, some analysis","Just used my extensive knowledge of world events to make the best educated guesses that I could","46.987","Male","1979","Professional degree (JD, MD)","    Employed for wages","62546314","Control"
"R_1mgAx0LHBfPuOBP","uni",2017-02-09,3712,25,4,23,50,2335.3,-1,-3,1,-3,-2,2,0,1,2,-1,0,-1,-3,1,-1,1,-2,-2,-2,-4,-2,1,-2,-2,-4,1,"319.378","",390.348,0.3,0.5,0.2,0.6,0.1,0.3,0.7,0.3,0.6,0.4,0.4,0.6,0.66,0.15,0.65,0.71,0.3,0.25,0.25,0.32,0.3,0.3,0.3,0.12,"Slightly good","No, I never participated in any forecasting of events","Yes, but less than six months","Individually","Less than 10 min","None","Mostly intuition, some analysis","","51.078","Male","1992","Bachelor's degree","    A student","54934827","Control"
"R_1mPE9sqxj2B3zwX","mturk",2017-02-07,745,30,0.25,24,0.4,145.537,-2,-3,3,1,1,0,2,1,-2,1,4,1,-1,3,4,2,0,3,2,2,-2,-3,-4,-2,-3,-4,"172.617","Yes",249.671,0.76,0.35,0.16,0.56,0.29,0.45,0.79,0.67,0.19,0.27,0.1,0.4,0.46,0.17,0.37,0.04,0.05,0.03,0.08,0.44,0.81,0.93,0.39,0.24,"Neither good nor bad","No, I never participated in any forecasting of events","None","Individually","Less than 10 min","None","Mostly intuition, some analysis","I just based my forecasts on my knowledge of events in the areas concerned and my intuition on how I think things will progress","97.638","Female","1961","Bachelor's degree","    Retired","80670904","Treatment"
"R_1NDo5Bj8zJ01W7l","mturk",2017-02-07,2399,30,25,20,80,241.226,1,2,4,3,4,4,4,3,3,-2,4,3,-3,3,4,4,-3,-1,3,1,2,1,-3,1,-4,1,"1691.673","",266.219,0.3,0.4,0.4,0.5,0.35,0.4,0.3,0.35,0.1,0.4,0.45,0.7,0.5,0.55,0.55,0.35,0.4,0.6,0.1,0.25,0.75,0.6,0.6,0.2,"Moderately bad","No, I never participated in any forecasting of events","None","Individually","Less than 10 min","None","Only intuition","No particular method.","39.678","Male","1988","High school graduate (high school diploma or equivalent)","    Out of work and looking for work","59183526","Control"
"R_1o7vCI2rco7tve0","mturk",2017-02-06,855,25,40,24,2,249.196,-3,-4,-4,-2,-1,-4,-3,4,2,2,4,4,1,3,3,4,-1,2,1,1,-2,-2,-3,1,-2,-1,"244.916","Yes",233.16,0.12,0.62,0.76,0.41,0.15,0.09,0.81,0.85,0.42,0.34,0.35,0.62,0.56,0.28,0.33,0.6,0.42,0.87,0.63,0.17,0.69,0.58,0.22,0.56,"Slightly bad","No, I never participated in any forecasting of events","None","Individually","Less than 10 min","Social media","Mostly intuition, some analysis","intition","51.99","Female","1974","High school graduate (high school diploma or equivalent)","    Employed for wages","71777295","Treatment"
"R_1oaRnLfFOfFVbvg","mturk",2017-02-07,2755,40,33,50,25,1259.963,1,1,0,-1,-1,4,1,0,0,4,0,-1,0,3,0,4,4,1,4,2,-2,-2,-1,-2,0,NA,"1028.36","",280.375,0.3,0.61,0.13,0.69,0.51,0.72,0.51,0.37,0.12,0.51,0.14,0.27,0.18,0.18,0.15,0.51,0.76,0.2,0.11,0.99,0.4,0.24,0.35,0.75,"Moderately good","Yes, I sometimes forecast events","None","Individually","30 min to 1 hour","None","Only intuition","I did not use any special method in forecasting the answers to the questions. I relied 100% on my intuition.","62.273","Female","1988","Some college/university but no degree","    Employed for wages","65422894","Control"
